term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,family_name,n,AIC,BIC,p_adj_fdr
prop_female,16.3117584933347,4.99674055200047,3.26447977908403,0.00120089194864868,6.48556506226057,26.1379519244088,stex,Speaking,z_inventory_dist,single_distance,gaussian_pair_weighted,536,5234.05627313262,5975.21148299787,0.00402894265544343
Enroll,0.391571960750876,0.114498669937502,3.419882178235,0.000697712206829527,0.166407963001147,0.616735958500604,stex,Speaking,z_inventory_dist,single_distance,gaussian_pair_weighted,536,5234.05627313262,5975.21148299787,0.00402894265544343
z_syntactic_dist,-0.228360629693828,1.54124796040865,-0.148166054755577,0.882294674319343,-3.25934104681022,2.80261978742256,stex,Speaking,mechanistic_block,mechanistic_block,gaussian_pair_weighted,536,5241.96366101379,5995.97127336225,0.882294674319343
z_morphological_dist,1.19710823547603,1.16709583403556,1.02571545589079,0.305714435663708,-1.09807379151071,3.49229026246278,stex,Speaking,mechanistic_block,mechanistic_block,gaussian_pair_weighted,536,5241.96366101379,5995.97127336225,0.550285984194674
z_phonological_dist,-0.520271256110497,0.706869114709841,-0.736022051726026,0.462196573517486,-1.91038271071502,0.86984019849403,stex,Speaking,mechanistic_block,mechanistic_block,gaussian_pair_weighted,536,5241.96366101379,5995.97127336225,0.693294860276229
z_inventory_dist,-0.157093411557664,1.01360494330627,-0.154984851440485,0.876920116943015,-2.15042401946264,1.83623719634731,stex,Speaking,mechanistic_block,mechanistic_block,gaussian_pair_weighted,536,5241.96366101379,5995.97127336225,0.882294674319343
AaA,-0.919404996044514,0.290989104350599,-3.15958564186227,0.00171367938140836,-1.49165702786362,-0.347152964225408,stex,Speaking,mechanistic_block,mechanistic_block,gaussian_pair_weighted,536,5241.96366101379,5995.97127336225,0.00641422196481195
LoR,0.304774582004502,0.513502466584349,0.593521164624122,0.553205138755421,-0.705066767563581,1.31461593157258,stex,Speaking,mechanistic_block,mechanistic_block,gaussian_pair_weighted,536,5241.96366101379,5995.97127336225,0.711263749828398
Edu.day,3.57278639795799,2.56356981993089,1.39367625963638,0.164275125840967,-1.46866710058285,8.61423989649882,stex,Speaking,mechanistic_block,mechanistic_block,gaussian_pair_weighted,536,5241.96366101379,5995.97127336225,0.369619033142176
prop_female,15.6768835249703,5.06894387259955,3.09273172459307,0.00213807398827065,5.70842289567752,25.645344154263,stex,Speaking,mechanistic_block,mechanistic_block,gaussian_pair_weighted,536,5241.96366101379,5995.97127336225,0.00641422196481195
Enroll,0.416795435479317,0.115952596795498,3.59453299881164,0.000370252860753839,0.188765904067797,0.644824966890838,stex,Speaking,mechanistic_block,mechanistic_block,gaussian_pair_weighted,536,5241.96366101379,5995.97127336225,0.00333227574678455
z_featural_dist,-11.3394539757811,8.00461139970547,-1.41661517462276,0.157469905504689,-27.0817229466854,4.40281499512322,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.341184795260159
z_script_dist,1.05484292016298,1.03938590815756,1.01487129263935,0.310856419158664,-0.989265371138443,3.09895121146441,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.414844905629932
z_geographic_dist,0.693237007868058,1.53059778553052,0.452919123770832,0.650882885312098,-2.31691311971696,3.70338713545307,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.650882885312098
z_genetic_dist,1.03029652974079,0.492870957765812,2.09039813262914,0.0372909628579939,0.0609918630105458,1.99960119647103,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.12119562928848
z_syntactic_dist,4.99365141824548,4.66071089316168,1.07143556695875,0.284699445884062,-4.17233563747521,14.1596384739662,stex,Speaking,all8_block,all8_block,gaussian_pair_weighted,536,5245.42921514421,6016.57336413696,0.414844905629932
