term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,n,r.squared,adj.r.squared,AIC,BIC,p_adj_fdr
z_morphological_dist,-0.846797253811997,0.269181000593182,-3.14582846466113,0.0021600701736051,-1.38059327940471,-0.313001228219279,toefl,Listening,z_morphological_dist,single_distance,106,0.0868881800951214,0.0781082587498823,519.89295015856,527.883267440896,0.00540017543401275
(Intercept),22.0660377358491,0.254777887701335,86.6089201654585,9.19549181243786e-99,21.5608036236191,22.5712718480791,toefl,Listening,z_phonological_dist,single_distance,106,0.174199408055299,0.166259017748139,509.239418241879,517.229735524215,
z_phonological_dist,-1.19900895839413,0.25598824077391,-4.68384389364628,8.54508825411027e-06,-1.70664324618735,-0.691374670600918,toefl,Listening,z_phonological_dist,single_distance,106,0.174199408055299,0.166259017748139,509.239418241879,517.229735524215,0.000161004606246741
(Intercept),22.0660377358491,0.278789084761629,79.149575582258,9.35702193153743e-95,21.5131885187927,22.6188869529054,toefl,Listening,z_inventory_dist,single_distance,106,0.0112118415065572,0.00170426305950489,528.332856999544,536.32317428188,
z_inventory_dist,-0.3041848396991,0.280113505920725,-1.08593421334417,0.280018765539979,-0.859660433614819,0.25129075421662,toefl,Listening,z_inventory_dist,single_distance,106,0.0112118415065572,0.00170426305950489,528.332856999544,536.32317428188,0.350023456924973
(Intercept),22.0660377358491,0.241559163511023,91.348377826462,6.68107613696088e-99,21.5868493341442,22.5452261375539,toefl,Listening,mechanistic_block,mechanistic_block,106,0.279080466404029,0.250529197746763,500.841883113524,516.822517678197,
z_syntactic_dist,-0.963277256575364,0.37175437015984,-2.59116592539636,0.0109805116368261,-1.70073792614567,-0.225816587005055,toefl,Listening,mechanistic_block,mechanistic_block,106,0.279080466404029,0.250529197746763,500.841883113524,516.822517678197,0.0219610232736522
z_morphological_dist,-0.199568921412618,0.315175489927631,-0.633199369209966,0.528034627905349,-0.824792312153783,0.425654469328546,toefl,Listening,mechanistic_block,mechanistic_block,106,0.279080466404029,0.250529197746763,500.841883113524,516.822517678197,0.565002599672287
z_phonological_dist,-1.26661507096807,0.310798729238016,-4.07535472900236,9.16500935153301e-05,-1.88315614583673,-0.650073996099416,toefl,Listening,mechanistic_block,mechanistic_block,106,0.279080466404029,0.250529197746763,500.841883113524,516.822517678197,0.00045825046757665
z_inventory_dist,1.1505797959763,0.345002948768586,3.3349853967424,0.00119397985691734,0.466186750392953,1.83497284155965,toefl,Listening,mechanistic_block,mechanistic_block,106,0.279080466404029,0.250529197746763,500.841883113524,516.822517678197,0.00341137101976382
