pair_id,n,Speaking,new_feat,new_sounds,AaA,LoR,Edu.day,Enroll,prop_female,C,L1_code,L2_code,featural_dist,script_dist,geographic_dist,genetic_dist,syntactic_dist,morphological_dist,phonological_dist,inventory_dist,z_featural_dist,z_script_dist,z_geographic_dist,z_genetic_dist,z_syntactic_dist,z_morphological_dist,z_phonological_dist,z_inventory_dist
indo1316__dani1285,1,534,19,20,43,1,4,64,0,Indonesia,indo1316,dani1285,0.58,0.4161,0.4009,1,0.6349,0.8404,0.3277,0.3923,0.336445351911419,1.16556907436714,2.70973570250942,0.83098441244373,0.69371310841236,1.79583585370334,-0.0174008207996264,-1.33523211070668
indo1316__stan1290,4,510.5,19,20,31,4.75,3.25,64,0.5,Indonesia,indo1316,stan1290,0.5814,0.3776,0.4158,1,0.5891,0.828,0.4835,0.4688,0.354294148567313,0.918572220909388,2.85035702951706,0.83098441244373,0.194974387780007,1.67699120293231,1.6918863405566,-0.294741608151886
indo1316__port1283,1,586,19,20,20,40,3,64,1,Indonesia,indo1316,port1283,0.5204,0.3776,0.4299,1,0.5156,0.7608,0.39,0.4158,-0.423403420010894,0.918572220909388,2.98342821816187,0.83098441244373,-0.605403253409468,1.03292986972155,0.66609462305463,-1.01560430926828
indo1316__nucl1643,2,500.5,19,20,22.5,1.5,3.5,64,1,Indonesia,indo1316,nucl1643,0.6378,0.4973,0.2131,1,0.712,0.7608,0.5348,0.4533,1.07334567099044,1.68650789256896,0.937340721836,0.83098441244373,1.53329291978254,1.03292986972155,2.25470040588122,-0.505559945270831
indo1316__stan1295,9,528.888888888889,19,20,31.1111111111111,4,3,64,0.666666666666667,Indonesia,indo1316,stan1295,0.5368,0.3776,0.396,1,0.5448,0.7061,0.4034,0.4906,-0.214317516327572,0.918572220909388,2.66349110503711,0.83098441244373,-0.287430095277051,0.50867161188481,0.81310648417256,0.00176418211863105
indo1316__ital1282,2,525,19,20,27.5,6.5,2,64,1,Indonesia,indo1316,ital1282,0.5533,0.3776,0.3956,1,0.5674,0.7608,0.3433,0.4312,-0.00395669859740167,0.918572220909388,2.6597160358557,0.83098441244373,-0.0413275824759327,1.03292986972155,0.153747316024232,-0.806146090453327
indo1316__indo1316,11,494.363636363636,19,20,24.3636363636364,5,3,64,0.909090909090909,Indonesia,indo1316,indo1316,0,0,0,0,0,0,0,0,-7.05805611981579,-1.50392159378278,-1.0738273845618,-4.64935151707962,-6.22002518262434,-6.25876450984315,-3.61260879754184,-6.67097621727199
indo1316__dutc1256,4,510,19,20,28,4,3,64,0.5,Indonesia,indo1316,dutc1256,0.5629,0.3776,0.4091,1,0.5815,0.7691,0.4034,0.4829,0.118435049900151,0.918572220909388,2.78712462072839,0.83098441244373,0.112214250731844,1.1124791117699,0.81310648417256,-0.102964927288845
ital1282__stan1293,495,531.406060606061,17,18,27.149494949495,3.8040404040404,3.36363636363636,99.0969696969697,0.666666666666667,Italy,ital1282,stan1293,0.5595,0.1864,0.0615,0.9291,0.5724,0.6658,0.2677,0.5064,0.0750879723072682,-0.30807189288601,-0.493410497919544,0.442428595040525,0.0131198761083854,0.122426496878951,-0.675662885506775,0.216662874149556
ital1282__stan1288,24,538.208333333333,17,18,26.2083333333333,6.91666666666667,3.125,99.5,0.625,Italy,ital1282,stan1288,0.4519,0,0.0485,0.5295,0.4257,0.498,0.2871,0.5037,-1.29671954210281,-1.50392159378278,-0.616100246315468,-1.74751364239701,-1.5843685587555,-1.48580998694197,-0.46282481791813,0.179939679941741
