dataset,native_code,target_code,speaking_score,n_observations,native_language,target_language,asjp_lexical,concepts_lexical,glottolog_genetic,l2v_genetic,urielplus_genetic,modality_hyperbolic,l2v_geographic,urielplus_geographic,modality_speaker,grambank_typological,qwals_typological,l2v_featural,l2v_syntactic,urielplus_featural,urielplus_syntactic,urielplus_morphological,modality_island,l2v_inventory,l2v_phonological,phoible_phonological,urielplus_inventory,urielplus_phonological,scripts_script,urielplus_script,pair_id,outcome,outcome_z
toefl,esto1258,stan1293,23.0,1,Estonian,English,0.487804635469014,0.03,1.0,1.0,0.9687,21.241074,0.1,0.0711,0.282092449337331,0.446099736745471,0.176106938144617,0.8,0.69,0.5622,0.5848,0.674,0.151770671506679,0.5983,0.5687,0.796296296296296,0.5026,0.1864,0.666666666666667,0.641,toefl::esto1258->stan1293,23.0,0.4945228963195119
toefl,ewee1241,stan1293,18.0,1,Ewe,English,,0.0699999999999999,1.0,1.0,1.0,20.448702,0.3,0.2049,0.399187428375293,0.517549169506766,0.303791286709072,0.6,0.66,0.6361,0.6777,0.7553,0.205663447582265,0.5249,0.3695,0.698412698412698,0.5249,0.4646,0.666666666666667,0.1864,toefl::ewee1241->stan1293,18.0,-1.494723340755219
toefl,finn1318,stan1293,23.0,1,Finnish,English,0.496929957558826,0.03,1.0,1.0,1.0,20.887901,0.1,0.0812,0.286308133660257,0.483560591623371,0.18909001023802,0.5,0.53,0.5882,0.6446,0.674,0.168182668857995,0.4694,0.2736,0.672131147540984,0.4694,0.3141,0.666666666666667,0.1864,toefl::finn1318->stan1293,23.0,0.4945228963195119
toefl,gand1255,stan1293,22.0,1,Ganda,English,,0.05,1.0,1.0,1.0,21.865604,0.3,0.255,0.408189688980755,0.577350269189626,0.324358989030887,0.6,0.78,0.6621,0.7165,0.7648,0.216309945721817,0.4928,0.5687,0.56,0.4928,0.4407,0.666666666666667,0.4161,toefl::gand1255->stan1293,22.0,0.09667364890456574
toefl,goan1235,stan1293,25.0,1,Konkani,English,,,0.816666666666667,0.9,0.9047,18.539984,0.4,0.2923,0.341972975502783,,,0.6,0.57,0.6468,0.6597,0.6736,0.249068708727691,0.5983,0.5687,,0.6054,0.5641,0.75,0.4404,toefl::goan1235->stan1293,25.0,1.2902213911494043
toefl,guja1252,stan1293,22.0,1,Gujarati,English,,0.17,0.825757575757576,0.9,0.9196,17.726118,0.3,0.2639,0.331884592984245,,0.19300144368952,0.6,0.68,0.6017,0.6644,0.6873,0.179475488396775,0.4753,0.5687,0.777777777777778,0.4753,0.3333,1.0,0.6368,toefl::guja1252->stan1293,22.0,0.09667364890456574
toefl,haus1257,stan1293,21.0,1,Hausa,English,0.498068875637655,0.1,1.0,1.0,1.0,19.48854,0.2,0.1885,0.376416157938257,0.527589343584494,0.275569362916808,0.5,0.45,0.572,0.567,0.6892,0.174207748505111,0.5337,0.427,0.629032258064516,0.5337,0.439,0.666666666666667,0.4161,toefl::haus1257->stan1293,21.0,-0.3011755985103804
toefl,hebr1245,stan1293,24.0,1,Hebrew,English,0.487811173437931,0.04,1.0,1.0,1.0,21.960886,0.2,0.1521,0.297389100003974,0.486820520986101,0.231430318233741,0.6,0.52,0.6064,0.6006,0.7193,0.173332427976355,0.5549,0.5687,0.604166666666667,0.5549,0.4788,1.0,0.6035,toefl::hebr1245->stan1293,24.0,0.8923721437344581
toefl,hili1240,stan1293,23.0,1,Hiligaynon,English,,0.1,1.0,1.0,1.0,22.11605,0.6,0.3975,0.452288439819878,0.559016994374948,0.261594191841457,0.6,0.66,0.6122,0.6663,0.7532,0.175881623284045,0.4911,0.5687,0.555555555555556,0.4911,0.1864,0.666666666666667,0.1864,toefl::hili1240->stan1293,23.0,0.4945228963195119
toefl,hind1269,stan1293,24.0,1,Hindi,English,0.474303754553279,0.03,0.833333333333333,0.9,0.9196,19.157167,0.4,0.2707,0.340122443129191,0.5803340113821,0.244765536475728,0.5,0.59,0.6094,0.6586,0.7597,0.193505261141854,0.4684,0.3433,0.712328767123288,0.4684,0.3729,0.75,0.3918,toefl::hind1269->stan1293,24.0,0.8923721437344581
