dataset,observation,native_language,native_code,target_language,target_code,speaking_score,asjp_lexical,concepts_lexical,glottolog_genetic,grambank_typological,l2v_featural,l2v_genetic,l2v_geographic,l2v_inventory,l2v_phonological,l2v_syntactic,modality_hyperbolic,modality_island,modality_speaker,phoible_phonological,qwals_typological,scripts_script,urielplus_featural,urielplus_genetic,urielplus_geographic,urielplus_inventory,urielplus_morphological,urielplus_phonological,urielplus_script,urielplus_syntactic
toefl,toefl_00026,Estonian,esto1258,English,stan1293,23,0.487804635469014,0.03,1,0.446099736745471,0.8,1,0.1,0.5983,0.5687,0.69,21.241074,0.151770671506679,0.282092449337331,0.796296296296296,0.176106938144617,0.666666666666667,0.5622,0.9687,0.0711,0.5026,0.674,0.1864,0.641,0.5848
toefl,toefl_00027,Ewe,ewee1241,English,stan1293,18,,0.0699999999999999,1,0.517549169506766,0.6,1,0.3,0.5249,0.3695,0.66,20.448702,0.205663447582265,0.399187428375293,0.698412698412698,0.303791286709072,0.666666666666667,0.6361,1,0.2049,0.5249,0.7553,0.4646,0.1864,0.6777
toefl,toefl_00028,Farsi,west2369,English,stan1293,20,0.508289499506952,0.0799999999999999,0.816666666666667,0.50395263067897,0.6,0.9,0.3,0.4807,0.3433,0.72,16.829262,0.197173837102065,0.313273654020082,0.5,0.295388002748843,1,0.6099,0.9196,0.2083,0.4807,0.648,0.3729,0.641,0.6777
toefl,toefl_00029,Finnish,finn1318,English,stan1293,23,0.496929957558826,0.03,1,0.483560591623371,0.5,1,0.1,0.4694,0.2736,0.53,20.887901,0.168182668857995,0.286308133660257,0.672131147540984,0.18909001023802,0.666666666666667,0.5882,1,0.0812,0.4694,0.674,0.3141,0.1864,0.6446
toefl,toefl_00030,French,stan1290,English,stan1293,21,0.469752166391344,0.01,0.857843137254902,0.473160223407384,0.5,0.9,0,0.4753,0.427,0.46,19.669724,0.165780264195068,0.234188591562,0.62962962962963,0.183940554625236,0.666666666666667,0.5686,0.9386,0.0246,0.4753,0.7083,0.439,0.1864,0.5789
toefl,toefl_00031,Fulah,maas1239,English,stan1293,20,,0.0699999999999999,1,0.543105909355605,0.7,1,0.2,0.498,0.5687,0.57,21.42274,0.18891530809442,0.37727258654264,0.618181818181818,0.200000002980232,0.666666666666667,0.6224,1,0.1857,0.498,0.6995,0.427,0.4161,0.6645
toefl,toefl_00032,Ganda,gand1255,English,stan1293,22,,0.05,1,0.577350269189626,0.6,1,0.3,0.4928,0.5687,0.78,21.865604,0.216309945721817,0.408189688980755,0.56,0.324358989030887,0.666666666666667,0.6621,1,0.255,0.4928,0.7648,0.4407,0.4161,0.7165
toefl,toefl_00033,Georgian,nucl1302,English,stan1293,23,0.491385929332637,0.05,1,0.562429133857987,0.6,1,0.2,0.5667,0.4816,0.61,18.509977,0.211954398816555,0.298848487799584,0.615384615384615,0.320117314656576,1,0.6546,1,0.154,0.5667,0.738,0.4878,0.3333,0.6791
toefl,toefl_00034,German,stan1295,English,stan1293,26,0.382894082923236,0.04,0.583333333333333,,0.4,0.4286,0.1,0.4364,0.3277,0.42,16.285048,0.149701546370613,0.266889810577528,0.42,0.161405939451406,0.666666666666667,0.5076,0.6336,0.0437,0.4364,0.6465,0.3548,0.1864,0.5146
toefl,toefl_00035,Greek,mode1248,English,stan1293,23,0.489915478418256,0.02,0.816666666666667,0.498754668053817,0.5,0.8333,0.1,0.5516,0.195,0.52,17.539917,0.171695533456631,0.27137750783629,0.617021276595745,0.22135365092671,1,0.5828,0.9047,0.0921,0.5516,0.7068,0.1864,0.3277,0.5837
toefl,toefl_00036,Gujarati,guja1252,English,stan1293,22,,0.17,0.825757575757576,,0.6,0.9,0.3,0.4753,0.5687,0.68,17.726118,0.179475488396775,0.331884592984245,0.777777777777778,0.19300144368952,1,0.6017,0.9196,0.2639,0.4753,0.6873,0.3333,0.6368,0.6644
