country,country_name,country_code,confounder,source,source_name,year,timing,region
Ghana,Ghana,GHA,gdp_per_capita,WDI,Ghana,2019,latest_available_at_or_before_2019,
Canada,Canada,CAN,gdp_per_capita,WDI,Canada,2019,latest_available_at_or_before_2019,
Turkey,Turkey,TUR,gdp_per_capita,WDI,Turkiye,2019,latest_available_at_or_before_2019,
Zimbabwe,Zimbabwe,ZWE,gdp_per_capita,WDI,Zimbabwe,2019,latest_available_at_or_before_2019,
Rwanda,Rwanda,RWA,gdp_per_capita,WDI,Rwanda,2019,latest_available_at_or_before_2019,
Netherlands,Netherlands,NLD,gdp_per_capita,WDI,Netherlands,2019,latest_available_at_or_before_2019,
Nigeria,Nigeria,NGA,gdp_per_capita,WDI,Nigeria,2019,latest_available_at_or_before_2019,
Albania,Albania,ALB,gdp_per_capita,WDI,Albania,2019,latest_available_at_or_before_2019,
Yugoslavia,Yugoslavia,,gdp_per_capita,WDI,,,,
France,France,FRA,gdp_per_capita,WDI,France,2019,latest_available_at_or_before_2019,
USSR,USSR,RUS,gdp_per_capita,WDI,Russian Federation,2019,latest_available_at_or_before_2019,
Australia,Australia,AUS,gdp_per_capita,WDI,Australia,2019,latest_available_at_or_before_2019,
Czechslowakia,Czechslowakia,,gdp_per_capita,WDI,,,,
UnitedKingdom,United Kingdom,GBR,gdp_per_capita,WDI,United Kingdom,2019,latest_available_at_or_before_2019,
Ethiopia,Ethiopia,ETH,gdp_per_capita,WDI,Ethiopia,2019,latest_available_at_or_before_2019,
Syria,Syria,SYR,gdp_per_capita,WDI,Syrian Arab Republic,2019,latest_available_at_or_before_2019,
Egypt,Egypt,EGY,gdp_per_capita,WDI,"Egypt, Arab Rep.",2019,latest_available_at_or_before_2019,
Eritrea,Eritrea,ERI,gdp_per_capita,WDI,Eritrea,,,
Iran,Iran,IRN,gdp_per_capita,WDI,"Iran, Islamic Rep.",2019,latest_available_at_or_before_2019,
Algeria,Algeria,DZA,gdp_per_capita,WDI,Algeria,2019,latest_available_at_or_before_2019,
Lebanon,Lebanon,LBN,gdp_per_capita,WDI,Lebanon,2019,latest_available_at_or_before_2019,
Iraq,Iraq,IRQ,gdp_per_capita,WDI,Iraq,2019,latest_available_at_or_before_2019,
Libya,Libya,LBY,gdp_per_capita,WDI,Libya,2019,latest_available_at_or_before_2019,
UnitedStates,United States,USA,gdp_per_capita,WDI,United States,2019,latest_available_at_or_before_2019,
Israel,Israel,ISR,gdp_per_capita,WDI,Israel,2019,latest_available_at_or_before_2019,
Kuwait,Kuwait,KWT,gdp_per_capita,WDI,Kuwait,2019,latest_available_at_or_before_2019,
Tunisia,Tunisia,TUN,gdp_per_capita,WDI,Tunisia,2019,latest_available_at_or_before_2019,
SaudiArabia,Saudi Arabia,SAU,gdp_per_capita,WDI,Saudi Arabia,2019,latest_available_at_or_before_2019,
Greece,Greece,GRC,gdp_per_capita,WDI,Greece,2019,latest_available_at_or_before_2019,
Belgium,Belgium,BEL,gdp_per_capita,WDI,Belgium,2019,latest_available_at_or_before_2019,
Germany,Germany,DEU,gdp_per_capita,WDI,Germany,2019,latest_available_at_or_before_2019,
Togo,Togo,TGO,gdp_per_capita,WDI,Togo,2019,latest_available_at_or_before_2019,
Spain,Spain,ESP,gdp_per_capita,WDI,Spain,2019,latest_available_at_or_before_2019,
India,India,IND,gdp_per_capita,WDI,India,2019,latest_available_at_or_before_2019,
Aruba,Aruba,ABW,gdp_per_capita,WDI,Aruba,2019,latest_available_at_or_before_2019,
Iceland,Iceland,ISL,gdp_per_capita,WDI,Iceland,2019,latest_available_at_or_before_2019,
Switzerland,Switzerland,CHE,gdp_per_capita,WDI,Switzerland,2019,latest_available_at_or_before_2019,
ElSalvador,El Salvador,SLV,gdp_per_capita,WDI,El Salvador,2019,latest_available_at_or_before_2019,
Somalia,Somalia,SOM,gdp_per_capita,WDI,"Somalia, Fed. Rep.",2019,latest_available_at_or_before_2019,
Tanzania,Tanzania,TZA,gdp_per_capita,WDI,Tanzania,2019,latest_available_at_or_before_2019,
Russia,Russia,RUS,gdp_per_capita,WDI,Russian Federation,2019,latest_available_at_or_before_2019,
Mozambique,Mozambique,MOZ,gdp_per_capita,WDI,Mozambique,2019,latest_available_at_or_before_2019,
China,China,CHN,gdp_per_capita,WDI,China,2019,latest_available_at_or_before_2019,
Sweden,Sweden,SWE,gdp_per_capita,WDI,Sweden,2019,latest_available_at_or_before_2019,
Azerbaijan,Azerbaijan,AZE,gdp_per_capita,WDI,Azerbaijan,2019,latest_available_at_or_before_2019,
Armenia,Armenia,ARM,gdp_per_capita,WDI,Armenia,2019,latest_available_at_or_before_2019,
Georgia,Georgia,GEO,gdp_per_capita,WDI,Georgia,2019,latest_available_at_or_before_2019,
Ukraine,Ukraine,UKR,gdp_per_capita,WDI,Ukraine,2019,latest_available_at_or_before_2019,
Argentina,Argentina,ARG,gdp_per_capita,WDI,Argentina,2019,latest_available_at_or_before_2019,
Bangladesh,Bangladesh,BGD,gdp_per_capita,WDI,Bangladesh,2019,latest_available_at_or_before_2019,
Pakistan,Pakistan,PAK,gdp_per_capita,WDI,Pakistan,2019,latest_available_at_or_before_2019,
Indonesia,Indonesia,IDN,gdp_per_capita,WDI,Indonesia,2019,latest_available_at_or_before_2019,
BosniaandHerzegovina,Bosniaand Herzegovina,BIH,gdp_per_capita,WDI,Bosnia and Herzegovina,2019,latest_available_at_or_before_2019,
SerbiaandMontenegro,Serbiaand Montenegro,,gdp_per_capita,WDI,,,,
Slovenia,Slovenia,SVN,gdp_per_capita,WDI,Slovenia,2019,latest_available_at_or_before_2019,
Bulgaria,Bulgaria,BGR,gdp_per_capita,WDI,Bulgaria,2019,latest_available_at_or_before_2019,
Norway,Norway,NOR,gdp_per_capita,WDI,Norway,2019,latest_available_at_or_before_2019,
Denmark,Denmark,DNK,gdp_per_capita,WDI,Denmark,2019,latest_available_at_or_before_2019,
Belarus,Belarus,BLR,gdp_per_capita,WDI,Belarus,2019,latest_available_at_or_before_2019,
Finland,Finland,FIN,gdp_per_capita,WDI,Finland,2019,latest_available_at_or_before_2019,
Vietnam,Vietnam,VNM,gdp_per_capita,WDI,Viet Nam,2019,latest_available_at_or_before_2019,
HongKong,Hong Kong,HKG,gdp_per_capita,WDI,"Hong Kong SAR, China",2019,latest_available_at_or_before_2019,
Malaysia,Malaysia,MYS,gdp_per_capita,WDI,Malaysia,2019,latest_available_at_or_before_2019,
Taiwan,Taiwan,TWN,gdp_per_capita,WDI,,,,
Singapore,Singapore,SGP,gdp_per_capita,WDI,Singapore,2019,latest_available_at_or_before_2019,
Thailand,Thailand,THA,gdp_per_capita,WDI,Thailand,2019,latest_available_at_or_before_2019,
Croatia,Croatia,HRV,gdp_per_capita,WDI,Croatia,2019,latest_available_at_or_before_2019,
Romania,Romania,ROU,gdp_per_capita,WDI,Romania,2019,latest_available_at_or_before_2019,
Austria,Austria,AUT,gdp_per_capita,WDI,Austria,2019,latest_available_at_or_before_2019,
Slovakia,Slovakia,SVK,gdp_per_capita,WDI,Slovak Republic,2019,latest_available_at_or_before_2019,
Italy,Italy,ITA,gdp_per_capita,WDI,Italy,2019,latest_available_at_or_before_2019,
Philippines,Philippines,PHL,gdp_per_capita,WDI,Philippines,2019,latest_available_at_or_before_2019,
Chile,Chile,CHL,gdp_per_capita,WDI,Chile,2019,latest_available_at_or_before_2019,
Japan,Japan,JPN,gdp_per_capita,WDI,Japan,2019,latest_available_at_or_before_2019,
NewZealand,New Zealand,NZL,gdp_per_capita,WDI,New Zealand,2019,latest_available_at_or_before_2019,
