Native.Language,Reading,Listening,Speaking,Writing,Total,code,L1_code,L2_code,urielplus_featural_dist,urielplus_script_dist,urielplus_geographic_dist,urielplus_genetic_dist,urielplus_syntactic_dist,urielplus_morphological_dist,urielplus_phonological_dist,urielplus_inventory_dist,modality_island_dist,modality_speaker_dist,modality_hyperbolic_dist,l2v_genetic_dist,l2v_geographic_dist,l2v_syntactic_dist,l2v_inventory_dist,l2v_phonological_dist,l2v_featural_dist,asjp_dist,phoible,grambank,glot_tree,scripts,concepts,qwals
Icelandic,23,26,24,23,96,icel1247,icel1247,stan1293,0.5505,0.0,0.0642,0.7323,0.5584,0.6936,0.427,0.4694,0.14114342720517,0.299810422141954,20.34326,0.7,0.1,0.47,0.4694,0.5687,0.5,,0.631578947368421,0.4645314560761311,0.5833333333333334,0.6666666666666667,0.03,0.1784817290632692
Igbo,19,20,21,20,81,nucl1417,nucl1417,stan1293,0.6286,0.1864,0.2142,1.0,0.6773,0.7854,0.4878,0.4772,0.1976390839667148,0.3852758234209366,19.234743,1.0,0.3,0.61,0.4772,0.427,0.5,,0.5098039215686274,0.5127246804456992,1.0,0.6666666666666667,0.18,0.24332010481092664
Indonesian,21,22,21,21,84,indo1316,indo1316,stan1293,0.59,0.4161,0.4185,1.0,0.6388,0.7434,0.3277,0.4546,0.1703684138319509,0.4836762103111534,22.224,1.0,0.6,0.52,0.4546,0.2736,0.5,0.4855769393949239,0.5208333333333333,0.5196152422706631,1.0,0.6666666666666667,0.0699999999999999,0.2607142925262451
Italian,24,24,22,22,93,ital1282,ital1282,stan1293,0.5595,0.1864,0.0615,0.9291,0.5724,0.6658,0.2677,0.5064,0.1594819756113226,0.2845440064979185,19.44084,0.9,0.1,0.51,0.5064,0.5687,0.5,0.467123870501874,0.6,0.475531968711181,0.8257575757575757,0.6666666666666667,0.02,0.13954518391535833
Japanese,19,19,17,18,73,nucl1643,nucl1643,stan1293,0.6712,0.3881,0.3453,1.0,0.713,0.7604,0.5587,0.5428,0.220943622562188,0.4041192426109353,16.566793,1.0,0.5,0.66,0.5472,0.5032,0.6,0.5010948615755272,0.6379310344827587,0.5802442736343265,1.0,0.75,0.06,0.3326410929361979
Javanese,18,17,16,17,68,java1254,java1254,stan1293,0.5993,0.1864,0.4052,1.0,0.6407,0.8019,0.427,0.4438,0.1737880981498029,0.4843854588332745,18.217724,1.0,0.6,0.82,0.4438,0.529,0.6,0.5025375938287663,0.5686274509803921,0.543557306504609,1.0,0.75,0.2099999999999999,0.2583809471130371
Kannada,23,24,24,23,95,nucl1305,nucl1305,stan1293,0.6406,0.5114,0.3013,1.0,0.7397,0.6629,0.3333,0.4738,0.1984362907884286,0.3417405931658121,20.353052,1.0,0.4,0.64,0.4738,0.3498,0.5,,0.696969696969697,0.5699763999032771,1.0,1.0,0.03,0.29450090848482574
Kashmiri,23,23,24,23,93,kash1277,kash1277,stan1293,0.5936,0.4973,0.2387,0.8934,0.6645,0.6518,0.3277,0.4579,0.1716939116261725,0.3407002051093177,17.929123,0.9,0.3,0.65,0.4579,0.4121,0.5,,0.7333333333333334,0.5380275868489703,0.7916666666666667,0.8333333333333334,-1.0,0.2556746164957682
Kazakh,20,20,15,18,73,kaza1248,kaza1248,stan1293,0.9187,0.4161,0.1977,1.0,0.9186,0.6736,0.8136,0.9139,0.2400970638353151,0.2909282829645901,21.35208,1.0,0.2,0.9,0.5983,0.805,0.9,0.4996831386034627,-1.0,-1.0,1.0,0.8,0.0999999999999999,0.45502646764119464
Khmer,18,20,21,21,80,cent1989,cent1989,stan1293,0.6253,0.6667,0.3638,1.0,0.6443,0.8019,0.5456,0.5101,0.1811100337521473,0.4038433712367068,21.16455,1.0,0.5,0.64,0.5101,0.5207,0.6,,0.6923076923076923,0.5121475197315839,1.0,1.0,0.0899999999999999,0.30173563734393255
Kikuyu,17,20,22,21,80,kiku1240,kiku1240,stan1293,0.6859,0.1864,0.2654,1.0,0.7356,0.798,0.5456,0.5207,0.2099566935955652,0.4143429787162683,21.628359,1.0,0.3,0.75,0.5207,0.5687,0.6,,0.6603773584905661,0.5859807965931166,1.0,0.6666666666666667,0.06,0.26550834243362015
Kinyarwanda,16,18,21,19,73,kiny1244,kiny1244,stan1293,0.6736,0.1864,0.2595,1.0,0.7326,0.7771,0.5804,0.5182,0.2008301802401579,0.4178874300792575,21.485485,1.0,0.3,0.77,0.5182,0.5687,0.6,0.5009128217597675,0.6031746031746033,-1.0,1.0,0.6666666666666667,0.12,0.2819940745830536
Konkani,24,25,25,25,99,goan1235,goan1235,stan1293,0.6468,0.4404,0.2923,0.9047,0.6597,0.6736,0.5641,0.6054,0.2490687087276912,0.3419729755027828,18.539984,0.9,0.4,0.57,0.5983,0.5687,0.6,,-1.0,-1.0,0.8166666666666667,0.75,-1.0,-1.0
Korean,22,22,21,21,86,kore1280,kore1280,stan1293,0.6664,0.3141,0.3292,1.0,0.7212,0.7699,0.5587,0.4866,0.2220948513794477,0.3766924055911951,18.999586,1.0,0.4,0.62,0.4866,0.4638,0.5,0.4950335641691021,0.7049180327868853,0.6096947996260912,1.0,1.0,0.0899999999999999,0.28598079396717585
