"L1","C","L1L2","L2","AaA","LoR","Edu.day","Sex","Family","ISO639.3","Enroll","Speaking","morph","lex","new_feat","new_sounds"
"Polish","Poland","PolishGerman","German",26,2,4,"Female","Indo-European","pol ",100,580,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",23,4,3,"Female","Indo-European","pol ",100,517,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",29,1,4,"Female","Indo-European","pol ",100,526,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",41,3,3,"Female","Indo-European","pol ",100,561,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",14,2,2,"Female","Indo-European","pol ",100,596,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,4,4,"Female","Indo-European","pol ",100,586,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",23,3,3,"Female","Indo-European","pol ",100,537,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",27,2,4,"Female","Indo-European","pol ",100,549,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",36,4,4,"Female","Indo-European","pol ",100,502,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",27,5,4,"Female","Indo-European","pol ",100,524,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",19,3,3,"Female","Indo-European","pol ",100,543,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,2,3,"Female","Indo-European","pol ",100,521,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",22,3,3,"Female","Indo-European","pol ",100,505,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",27,1,4,"Male","Indo-European","pol ",100,574,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",21,3,3,"Female","Indo-European","pol ",100,534,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",21,11,3,"Female","Indo-European","pol ",100,587,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",23,1,4,"Male","Indo-European","pol ",100,521,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",19,3,3,"Female","Indo-European","pol ",100,576,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",19,3,3,"Female","Indo-European","pol ",100,526,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",23,8,4,"Female","Indo-European","pol ",100,520,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",29,1,4,"Female","Indo-European","pol ",100,550,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",21,3,3,"Female","Indo-European","pol ",100,518,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",25,2,3,"Female","Indo-European","pol ",100,564,0.0479,0.388004,14,25
